city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Bambous Virieux,40,MU,1540432800,82,-20.34,57.76,68.0,2.24
Giresun,80,TR,1540435567,69,40.91,38.39,61.61,6.22
Cairns,75,AU,1540434600,38,-16.92,145.77,89.6,18.34
Payson,1,US,1540433700,50,40.04,-111.73,55.4,5.82
Usinsk,76,RU,1540435568,92,66.0,57.56,25.75,2.98
Kikwit,32,CD,1540435568,93,-5.04,18.82,70.07,2.75
Outjo,0,NA,1540432800,48,-20.11,16.16,62.6,2.24
Port Hedland,0,AU,1540434600,19,-20.31,118.58,86.0,16.11
Benghazi,40,LY,1540432080,93,32.12,20.07,62.6,21.21
Tarata,20,PE,1540435568,62,-17.47,-70.03,35.42,1.97
Saravena,48,CO,1540435569,95,6.96,-71.88,68.72,1.97
Saint-Augustin,90,CA,1540432800,65,45.63,-73.98,42.8,11.41
Palana,92,RU,1540435569,99,59.08,159.95,36.9,3.2
Comodoro Rivadavia,20,AR,1540432800,93,-45.87,-67.48,50.0,7.23
Gobabis,0,NA,1540432800,55,-22.45,18.97,60.8,1.12
Pundaguitan,24,PH,1540435569,100,6.37,126.17,83.07,6.78
Dingle,44,IE,1540435569,100,52.14,-10.27,49.01,3.98
Abancay,92,PE,1540435569,88,-13.64,-72.88,46.45,1.07
Derby,20,GB,1540434000,81,52.92,-1.48,50.0,9.17
Santa Marta,90,CO,1540432800,88,11.24,-74.21,80.6,6.93
Nemuro,20,JP,1540432800,51,43.32,145.57,60.8,3.36
Inhambane,24,MZ,1540435570,100,-23.87,35.38,64.76,7.0
Fomboni,0,KM,1540435570,100,-12.28,43.74,78.85,6.89
Balkhash,12,KZ,1540435570,100,46.84,74.98,37.31,12.93
Lagoa,0,PT,1540434600,82,37.14,-8.45,64.4,6.93
Garowe,92,SO,1540435571,94,8.41,48.48,71.78,4.43
Elizabeth City,1,US,1540434000,62,36.3,-76.22,53.6,8.05
Chornoliztsi,75,UA,1540432800,91,48.84,24.89,41.0,17.9
Summerside,75,CA,1540432800,93,46.39,-63.79,46.4,10.29
Rongcheng,8,CN,1540435571,59,37.16,122.42,69.89,13.04
Solnechnyy,76,RU,1540435571,70,50.72,136.64,46.45,6.67
